,reviews,Review Sentiment,Sentiment
1,"next time it will be jet2. not a great experience. i could not check in online as two separate parts of the ba computer system do not talk to each other. at lhr a delightful check in clerk sorted it quickly, manually! we boarded on time, but luggage loading had to be halted as the captain spotted a technical issue and an engineer was called. by the time it was sorted we had missed our slot so took off an hour behind schedule. the flight was uneventful, but the plane had clearly seen better days, legroom was appalling and the handout of a small bottle of water and a soggy cookie made one wish for the days when flying ba meant something special. next time it will be jet2.",0.8749,Positive
2,"become the ryanair of long-haul travel. i was excited to fly ba as i'd not travelled with them long haul for over 25yrs. i've travelled to australia on many occasions, so i've pretty much travelled with them all. terrible was my experience. ba have become the ryanair of long-haul travel, riding on their previous good name and reputation. we were delayed for 5hrs at the terminal, where we were offered one glass of water and then at the last minute our meal - with no additional drinks offered. the charging points were outdated and 3 out of 5 didn't work (family of five travelling). the in flight entertainment was also outdated and the movies available were poor compared to other airlines. the food was atrocious - we flew ba lhr-hongkong and return and cathay hk-australia return and the comparison was vast. we were offered pre meal drinks and snacks, drinks with our meal, a menu for our flights so we knew our choices, the quality of the food was vastly better with cathay. our luggage was lost for nearly two hours in hong kong and when we arrived into london, one of our bags was so badly damaged it was unusable. the only redeeming part was the crew on our return flight were amazing. severine was an angel and helped make the journey more pleasant for my kids.",0.477,Neutral
3,"they never help us. i just want to warn everyone of the worst customer service experience ever! it really looks like british airways customer service over the phone are trained to not help you in anyway and to create more problems rather than solving them. last week we called british airways to make a reservation for the family. at the time we explained to the customer service representative that we wanted to make a booking and then pay with a transfer of miles from american express. the representative told us that he could not make the reservation until the miles were in the account, and asked us to contact american express and make the transfer so that the booking could be made. the conversation was recorded by british airways and could be checked. we immediately called amex (within 30 minutes) and solicited the transfer of 500k miles. amex clearly stated to us whether we were sure as the transfer was not reversible. we said that it was fine since we had checked previously with british airways. we then called british airways immediately to make our reservation to miami. they confirmed that the miles arrived to our account, but to our surprise they told us that there was no space (not even one seat to miami) and that we could not use the miles. we explained the situation and how we were led to believe that we could have a flight with miles if we transferred the miles, but all this went on deaf ears. we called the german office, which was absolutely unhelpful, so we also called uk customer service which was just as unhelpful. no manager was able to open a flight for us with miles and they just kept repeating that this was not possible (even though we if we paid for the flight and got the seats and also seats were available if we would have had gold status). in the end british airways took absolutely no responsibility for causing the problem, did not give us a solution, kept our miles and we have to pay for a trip to miami. with this service to their customers this is a company that should not be in business. every time we call they made us wait for over 45 minutes then they answer and put us on hold, i have 2 days of waiting and talking with british airways for over 2 hours each day, we were on the line for over 45 minutes each time. we were told by the lady agent to hang up the phone as i was too long on the phone and she had other customers? and we are not customers? they never help us.",-0.8838,Negative
4,"uncomfortable seat and disgusting food. paid for business class travelling cairo to london heathrow but all i got was an economy seat. only difference from economy is middle seat was vacant. couldn't recline, no entertainment for the 5hr+ flight, uncomfortable seat and disgusting food. put in a formal complaint 3 days ago and had no reply. ba's account on x is hacked. got approached by scammers after posting there and even after flagging this to ba nothing done about it. just disgusting. avoid.",-0.9722,Negative
5,zero customer service. the plane was extremely dirty with chocolate smudged all over mine and my children's seats. i had to wipe down all the seats. after we landed i immediately realized i left my camera with it's bag in the airplane overhead cabin. they would not let me back on the plane for security reasons so i went to the british airways team on ground & they refused to contact cabin crew only until we threw up a massive fuss then the manager reluctantly agreed which by that point cabin crew had disembarked. now it's been over 3 weeks with no sign of my camera so it is assumed stolen. i have complained to british airways and all i get is an automated/generic response to keep checking with lost property. zero customer service for their regular customers and this all could have been mitigated if they had been willing to help at the very beginning - very disappointed.,-0.9079,Negative
6,"baggage arrival nearly took 1.5 hours. overall journey wasn’t bad however at the end, the baggage arrival nearly took 1.5 hours (more than actual flight time). baggage of other flights arriving after had been delivered whereas the baggage staff on airport had no clue and information as to why baggage of this flight hasn’t arrived. they raised their hands saying they can’t do anything further. poor communication and no customer facing skills.",-0.875,Negative
7,"overall very satisfied. overall very satisfied. ground staff member at yvr was extremely helpful & courteous. a350 was only a few months old, so seats were in good order & comfortable by the standards of a modern day y class seat, although the very small washroom was already starting to look a bit shabby. cabin crew very friendly & professional, & meal service carried out at reasonable time in the flight. choice of 2 options for the main meal which was the same for both legs of my journey 1 month apart. flight departed on time but unfortunately upon landing at lhr we were unable to deplane for quite some time due to a staffing issue at lhr which so not the fault of the airline, and we were given frequent updates on the situation from the flight manager & the flight deck.",0.8721,Positive
8,"airline is a total disgrace. as always when i fly ba it was a total shambles. i was booked manchester - london - madrid , ba first leg and iberia 2nd, i try wherever possible to avoid ba, however the manchester - london was late, however i ran for my ib flight and got to b gates just as boarding started, being group 1 i went to board and the gate sounded an alarm, ba had removed me from the ib flight to a ba flight 3 hours later! as ba had reissued the ticket ib could not put me back on the flight, so 3 hours wasted because of ba’s total incompetence. this airline is a total disgrace, the crew were not nice, typical ba crew oh im so fabulous i don't need to be nice to paying passengers, club europe cramped and terrible food!",-0.9185,Negative
9,we were pleased with the service. first time using ba business class but we were pleased with the service received. no one was waiting at check in/bag drop and through security in 2 minutes. we used the lounge in the b gates area which we found quiet with plenty of food and drink on offer. boarding was quick and the cabin was on a 1x2x1 layout with 12 seats although there was a larger b/c cabin behind that had about 30 seats. again food and drinks were plenty full and good quality. service from the cabin crew was excellent and the cabin manager (lauren) even made up a birthday card when she found out it was my wife’s special birthday. departed early and arrived at jfk early as well. the only thing that i disliked was paying £117 each to select our seats and no free wi-fi.,0.8884,Positive
10,"gate agent was extremely rude. extremely rude ground service. we were non-rev flying and london was our connection/layover. gate agent was extremely rude and forced me to check my carry on suitcase with the explanation that it was “oversized.” however, when i put it in the sizer, it fit perfectly without force. the plane was not fully booked and had lots of room overhead. the gate agent was insistent and rushed us with no regard for the fact that we would have to redo security in order to get our bags again, as we were switching airlines and needed to carry them on due to our non-rev status. the flight itself was good, attendants were polite and helpful. no complains there. just extremely unhappy with the gate agent service. i understand that it is not a pleasant job and frankly i would not be overjoyed to work there either but that does not explain why we had to be inconvenienced with no fair explanation or attention.",-0.5957,Negative
